,UserName,Class_before,PredClass_before,Class,PredClass
0,--Snowball--,1,1,1,1
6,AliveBilly123123,1,1,1,1
20,David_Rosenstein,1,1,1,1
21,Davidsaka0624,1,1,1,1
26,Froststar189,1,1,1,1
27,HowManyBoxes,1,1,1,1
28,Hunter713,1,1,1,1
31,J251A6Coder,1,1,1,1
32,JoVander,1,1,1,1
36,Maxim1912,1,1,1,1
37,MaximumAsp79,1,1,1,1
42,MyntTeE,1,1,1,1
43,NanoBlob,1,1,1,1
44,Nate_LOCS,1,1,1,1
46,Parrot2008,1,1,1,1
52,UnstripedZebra,1,1,1,1
54,ZSha,1,1,1,1
58,angorayaho,1,1,1,1
61,bopp32,1,1,1,1
62,buggy44556,1,1,1,1
63,careparadas,1,1,1,1
65,clive6841,1,1,1,1
70,cs2395821,1,1,1,1
77,egorsupergood,1,1,1,1
79,grahamby,1,1,1,1
80,hahaha1642,1,1,1,1
81,hamsterao,1,1,1,1
84,joshyankfan01,1,1,1,1
85,kai_1234,1,1,1,1
86,kd414632,1,1,1,1
90,pink_235,1,1,1,1
91,programmerpaige,1,1,1,1
96,scarybaer9,1,1,1,1
97,sensei_ben,1,1,1,1
98,sls18191a26,1,1,1,1
102,sssuzu,1,1,1,1
106,vnm12001,1,1,1,1
109,-Bianca_Di_Angelo-,0,0,0,0
110,-HeyStormie-,0,0,0,0
111,-Oceana_Blue-,0,0,0,0
112,-Overcast-,0,0,0,0
113,-WolfyAnimates-,0,0,0,0
114,-raccoons-,0,0,0,0
115,0106harvey,0,0,0,0
116,08luntoria,0,0,0,0
117,1017233,0,0,0,0
118,10191367,0,0,0,0
119,1028272,0,0,0,0
120,123appel123,0,0,0,0
121,18b3_gisele,0,0,0,0
122,18b3_james,0,0,0,0
123,1A_G15_MS-AL,0,0,0,0
124,1cawoohoo,0,0,0,0
125,20015167,0,0,0,0
126,2028dxiao,0,0,0,0
127,22hepay,0,0,0,0
128,247TLG,0,0,0,0
129,26BSTARK10,0,0,0,0
130,28CoolKing28,0,0,0,0
131,28oconnorc,0,0,0,0
132,2kami,0,0,0,0
134,399ethansi,0,0,0,0
135,399michaelg,0,0,0,0
136,399nicoleh,0,0,0,0
137,565420,0,0,0,0
138,571692ZW,0,0,0,0
139,6640005702,0,0,0,0
140,6640008178,0,0,0,0
141,7catsinhouse,0,0,0,0
142,88127165mp,0,0,0,0
143,AHMAT-B5,0,0,0,0
144,ALI-A_XD,0,0,0,0
145,ASpenMeredith,0,0,0,0
146,AZTroisieme,0,0,0,0
147,Abor5-6,0,0,0,0
148,Acontreras7,0,0,0,0
149,Adicats,0,0,0,0
150,AlanaOliv16,0,0,0,0
152,Ana_abrantes,0,0,0,0
153,Andgomis,0,0,0,0
154,Angle-on-a-mellow,0,0,0,0
155,Angrybirds2019,0,0,0,0
156,AnimanieHowlKitten,0,0,0,0
157,AnimeKnight2,0,0,0,0
158,Arno21,0,0,0,0
159,Ashgaming52,0,0,0,0
160,BBangQ,0,0,0,0
161,Ballerin07,0,0,0,0
162,Banana-Cream-Pie,0,0,0,0
163,Bdlehew,0,0,0,0
164,BenEsT2018,0,0,0,0
165,BigDaddyKyland,0,0,0,0
166,BranVill,0,0,0,0
167,Braveheart_Mageclan,0,0,0,0
168,Buildmaster0303,0,0,0,0
169,CC52136,0,0,0,0
170,CandyCatsss,0,0,0,0
171,CapitanGrefusito,0,0,0,0
172,Cat_lover1007,0,0,0,0
174,Chico-and-rainbow,0,0,0,0
175,Codingdude8,0,0,0,0
176,ColSSan2018,0,0,0,0
177,Colyderp-OST,0,0,0,0
178,ConnorOBrien2027,0,0,0,0
179,ConsumedKing,0,0,0,0
180,Create1803,0,0,0,0
182,CrystalX75,0,0,0,0
183,DHACC,0,0,0,0
184,DSidorova,0,0,0,0
185,DWN123,0,0,0,0
186,DarrenCSB2,0,0,0,0
187,DarthVader4Life,0,0,0,0
188,Dea986,0,0,0,0
189,Devil_666_Demon,0,0,0,0
190,Diego1536,0,0,0,0
191,DielliOMGIsCool,0,0,0,0
192,Dirtbikeguy,0,0,0,0
193,DogSpace444,0,0,0,0
194,Doggywoofwoo,0,0,0,0
195,Dollyisbananas,0,0,0,0
196,Donut-go-dog,0,0,0,0
197,DylanKhul,0,0,0,0
198,EHTERNET-Plus,0,0,0,0
199,EJMoise,0,0,0,0
200,EWAPOLS04,0,0,0,0
201,Eddie_Murphy,0,0,0,0
202,EmanuelS-18,0,0,0,0
203,EnochP13,0,0,0,0
204,Eoinpheist,0,0,0,0
205,FaZeAdapt10123,0,0,0,0
206,FireLily_09,0,0,0,0
207,Foozled,0,0,0,0
208,Four_yellow441,0,0,0,0
209,Freddy9207,0,0,0,0
210,Frostingkittycupcak9,0,0,0,0
211,Fuzzy717,0,0,0,0
212,GC5MightyOaks,0,0,0,0
213,GLiTcH-404,0,0,0,0
214,Galaxy_FQ10,0,0,0,0
216,Girlham64,0,0,0,0
217,GobbaStriker_BFDI,0,0,0,0
218,GojiKris,0,0,0,0
219,Golu_unicorn,0,0,0,0
