UserName,Class,PredClass
-999WasHereAlt-,1,0
-AestheticNinjago-,0,0
-Aries,0,0
-CODEBEASTS-,1,1
-Intentional-,0,0
-Overcast-,0,0
-SCARECROW-,0,0
-Stellarmoon-,0,0
06olee,0,0
10018801,0,0
10643360,0,0
18b3_azra,0,0
18b3_kayla,0,0
18b3_lenny,0,0
19138PHS,0,0
193b48,0,0
1cornpls123,0,0
1eso1c4,0,0
1sasitharanc,0,0
20011688,0,0
20011726,0,0
21grago,0,0
247ERH,0,0
247KEF0,0,0
28bullj,0,0
28kayac,0,0
2bekah19,1,0
340451af,0,0
399tyrahl,0,0
4157613130,0,0
46mapu,1,1
5-F310,0,0
5928005225,0,0
5d-marde,0,0
618526,0,0
6610015505,0,0
67Scratch,0,0
757277,0,1
8011160SD,1,0
8011325OW,0,0
82998,0,0
900504021,0,0
92nov,1,0
A72217229,1,0
AHMAT-B5,0,0
AHeilmann23,0,0
AI1234567890,1,0
AICECREAMMAN,0,0
ALoury,0,0
ANCompSci,1,0
AZTroisieme,0,0
AedanWsb2,0,0
Agent80,0,0
Alan_MJ,0,0
Alex0780,0,0
AlexGaming8DK,0,0
Alexbrine12345,0,0
AliMJPS430,0,0
All_Fortnite_Emotes,1,0
Andre_Arts,0,0
AnvithaDMSS2,0,0
Apples234,0,0
ArkZombie,1,1
Asgardian_Aesthetics,0,0
Astigmatism,0,0
AydGar72,0,0
B73054768,0,1
B73424570,0,0
Barinua210251,0,0
Benitjai000,0,0
Bielicke3824,0,0
Biggie_Chungus,1,1
BlastyPlayzScratch,0,0
BlizzardTheFurry,0,0
BlueCornflower,1,0
Boomer246,1,0
BoonyGirl,1,1
Brambleyeet,0,0
BrendonGaming09,0,0
BriannaDPA,0,0
Bumpbump2306,1,0
CJWaterDude111,0,0
CMK2019ehs,0,0
Capolot,0,0
CarolineXSB2,0,0
Caymoo18,0,0
Chase5959,0,0
Chris136_,0,1
Cjam80807,0,0
ClarkMiSB2,0,0
CocoaSans365,0,0
Codeninjagirl,1,1
CodingMaster137,0,0
Codingforkids1196,0,1
ConWood2018,0,0
ConnorOBrien2027,0,0
CozyCritter,0,0
CraftyRamenGirl,0,0
CrazyCakeV1,0,0
CrazySonicGamer,1,0
CreatorDebater,0,0
CrosSquad,0,0
CrossArrowCrossLynx,0,0
Crystal3Q19_denman,0,0
CuteLittleCatGirl,0,0
Cuteblossom123,0,0
CzasNaWszystko_PL,0,0
D1715460,0,0
DFIG,0,0
DQ48355,0,0
DW779120,0,0
DaSmollKitten,0,0
Dakmon,0,0
DefinatelyNotJevil,0,0
DemoArsen,1,0
Digitalwerkstatt-MDW,0,1
DinoLikeFootbal_2-0,0,0
DocBlue,0,0
DougN_Pedro152,0,0
DragonKitty95,0,0
EL9757194,0,0
ESCOLAGRUP5A,0,0
EUJs1601030,1,0
EeveeElla,0,0
Eoinpheist,0,0
Error-SansxInk-sans,0,0
F-_On_Your_Test3,1,1
F477,0,0
FWKScratch,0,0
Freddy9207,0,0
GP2910,0,0
GULLERMITOO,1,0
GatorScratch2027,0,1
GogMilan,0,0
Golu_unicorn,0,0
GymnasticsWOW,0,0
Halo_31,1,1
Hayden_Miller22,0,0
Heart_S06,0,0
HeftyHill,0,0
Helen_Li,1,0
Horsecrazy09,0,0
HuskyGirl43,0,0
I_am_a_human_04,1,1
Iceicedudeuwu,0,0
Imogen3Q19_denman,0,0
JB123pro,0,0
JC48913,0,0
JEMEMERCADOCHICO,0,0
JR287076,0,0
JSmarba,1,0
JackMUSV2,0,0
Jacksepticyce_fan,0,0
James_Santoy,1,1
JangSeonHee,0,0
Jasmeet89,0,0
Jaxk_,0,0
Jerome69420,0,1
JohanVangilbergen,0,1
JonahRodriguez9,0,0
JosiahTehAnimatior,0,0
Kartoffel_mands_ven,1,1
Kawaii_NANI,0,0
Keemou18,0,0
KeenStephanie19,0,0
KittyCodesOnScratch,0,0
KittyKittyKatCat,1,0
Koharu_Seto,0,0
KotoVitoBito,0,0
LD480501,0,0
LG050493,0,0
LJagain,0,0
LL530688,0,0
Larissas13,0,0
LeLe_Lin0914,0,0
Lgamer98,0,0
Lilac2345,0,0
Loihi,0,0
Lol8ossman,1,0
Lola17122009,0,0
LolloSimonini,0,0
Luigi5712,0,0
LuttceBoi206,1,0
MADU12,0,0
MEFCS19,0,0
MICHAELJBCMS,0,0
MINEMAN_C,0,1
MR_JONESY,0,0
Mahnameisjeff100,0,0
MarGar16,0,0
MarshmelloThings,0,0
MaxMonster8,1,0
MaxiT06,1,1
MeeWee24,0,0
MettatonEon,0,0
MonkeyRapoza,1,0
MrSmolBeans,0,0
MrsStablefordy4,0,0
Mugenov2012,0,0
MyAccountTest,0,0
MysticGamerXD,0,0
NE8-anova01-Remix,0,0
NLEClub10,0,0
NinjaVahn,0,0
NoahBlueo5,0,0
NotByron,0,0
OLSHY3,0,0
OliveArt,0,0
Oo-MistyStar-oO,1,0
Owardy,0,1
PartyAnimal20,0,0
PbsFan2019,0,0
PinkUnicornxox,0,0
Pizzab4boyz,0,0
PokeTDC,1,0
PressF4AmIRight,0,0
Prisha234,0,0
PvzFan31,0,0
REDunicorn11,0,0
RPF_Translation,0,0
RatTV,0,0
RealityMusic_2-0,0,0
RimatFudar,0,0
RogueMusse,0,0
Room17craw,0,0
RosaHernandezDarEven,0,0
Ryss_g0t3m,0,0
SG50650,0,0
SPW_JuliaW,0,0
SantiagoMoyleCG,0,0
Saralyn_Y,0,0
SasjaPivot,0,0
ScratchMiniCat5,0,0
ShadowFeatherGames,0,0
Shadowcatsaysmew,0,0
ShinyManga,0,0
Silverberry123,0,0
Sir_Something77,0,0
SmartGoat,0,0
SneakersMan,0,0
Socc3rdude17,1,0
Spaceship-,0,0
StrawBerryFace4,0,0
StudentMLaw,0,0
TY20XX,0,0
TheScratchTimes123,1,0
TicoRico25,1,0
Timothy3Q19_Denman,0,0
Tonkayuyu2019,0,0
ToyStoryAndy,0,0
TylerGF,0,0
UnicornPuffball,0,0
VLevshina,0,0
Varner581,0,0
VexEarth,0,0
Vincent603,0,0
Vinicius_Jimenez07,0,0
WC2019ehs,0,0
WitherDude1,1,0
Wolffy25O_MAPs,0,0
WolfieWuff,0,0
XxSKYxFALLxX,0,0
XxVeanomxX,0,0
