,UserName,Class_before,PredClass_before,Class,PredClass
48,DinoLikeFootbal_2-0,1,0,1,1
55,FluffyTheDragonCat,1,0,1,1
58,GoodBoy41,1,0,1,1
96,SCSCoder-Shreay,1,0,1,1
117,aidanarn9131,1,0,1,1
124,beatrizMastromauro,1,0,1,1
163,cs2618012,1,0,1,1
178,dayskylerm,1,0,1,1
221,lilliandanielle,1,0,1,1
242,philipi002,1,0,1,1
250,s185a2030,1,0,1,1
262,tjoelal,1,0,1,1
265,victormaccaroni,1,0,1,1
272,-BerriiMochii,0,1,0,0
275,10191370,0,1,0,0
294,Delaisa001,0,1,0,0
309,Karleeeeeeeee,0,1,0,0
343,asjiles2007,0,1,0,0
347,cs1769940,0,1,0,0
354,cs2632464,0,1,0,0
361,get_it_prince_xD,0,1,0,0
363,jpinnell2020,0,1,0,0
430,DWB2019EAC,1,0,1,1
475,MichaelDPA,1,0,1,1
478,MrCreeperPlaysGames,1,0,1,1
486,PinguandSusiev3,1,0,1,1
496,Ron0_and_Tungster,1,0,1,1
498,RukiFox,1,0,1,1
499,RyasPear,1,0,1,1
529,als616,1,0,1,1
530,amyhite8,1,0,1,1
580,egal4,1,0,1,1
600,joaoabreubj630,1,0,1,1
609,kutter2,1,0,1,1
611,laijitomy,1,0,1,1
613,locatopduck,1,0,1,1
628,pedrosilveiraramos,1,0,1,1
667,EPICblueclouds,0,1,0,0
699,Rivertail415,0,1,0,0
710,WeslyBowie,0,1,0,0
733,eponine_24601,0,1,0,0
784,Boomer246,1,0,1,1
806,EHTERNET-Plus,1,0,1,1
838,MBFCS19,1,0,1,1
862,SasjaPivot,1,0,1,1
874,Ulsanfirepunch123,1,0,1,1
877,WillRamadhani3,1,0,1,1
880,XN502,1,0,1,1
907,cs2339127,1,0,1,1
913,cs2387898,1,0,1,1
926,cs2485941,1,0,1,1
944,dresdres,1,0,1,1
952,ga-gaeun,1,0,1,1
956,goinsgabriela4,1,0,1,1
975,kojoasop,1,0,1,1
999,phoneguy_1987,1,0,1,1
1021,supermanspidermani,1,0,1,1
1044,BiIvaMunner,0,1,0,0
1067,MrSmolBeans,0,1,0,0
1100,cs2231741,0,1,0,0
1123,kaytrix,0,1,0,0
1124,kumo_chan,0,1,0,0
1133,shopkinsapp,0,1,0,0
1144,---1122,1,0,1,1
1175,Binita229300,1,0,1,1
1180,Camillelola,1,0,1,1
1191,EL9757194,1,0,1,1
1240,RufatComedian,1,0,1,1
1242,Sal_The_Skeleton,1,0,1,1
1262,aan_g09,1,0,1,1
1264,aleenaaziz,1,0,1,1
1269,baltobear,1,0,1,1
1306,cs2429820,1,0,1,1
1315,cs2466333,1,0,1,1
1330,disintegratingfox,1,0,1,1
1348,kyb001229,1,0,1,1
1383,poltansto,1,0,1,1
1414,-Oceana_Blue-,0,1,0,0
1426,C1704557,0,1,0,0
1430,DimkaDimintriFeline,0,1,0,0
1440,Kittycornangel,0,1,0,0
1465,af_quogue,0,1,0,0
1466,amazinggurliegurl1,0,1,0,0
1470,bigchungi13,0,1,0,0
1471,brandonawesomeness,0,1,0,0
1478,cs2368430,0,1,0,0
1509,minthmar,0,1,0,0
1510,mperezv12019,0,1,0,0
1521,warriorcat_fan123,0,1,0,0
1579,GabeS-18,1,0,1,1
1617,OliveArt,1,0,1,1
1623,Ravenclawgirl20,1,0,1,1
1634,SkittzTFH,1,0,1,1
1643,UnderGen19,1,0,1,1
1744,lluisca,1,0,1,1
1749,mariosmansion8,1,0,1,1
1785,vbs2898,1,0,1,1
1812,EUJs1601137,0,1,0,0
1814,FlurryQuackers,0,1,0,0
1835,Practicas2019,0,1,0,0
1839,SFReturns,0,1,0,0
1842,Spider-Tony190,0,1,0,0
1862,cs2394700,0,1,0,0
1873,goofygammer,0,1,0,0
1874,goopta_michael_N,0,1,0,0
1893,s229729,0,1,0,0
1901,tndus6280,0,1,0,0
1907,-Bianca_Di_Angelo-,1,0,1,1
1910,10191367,1,0,1,1
1943,BerryMaria,1,0,1,1
