,UserName,Class_before,PredClass_before,Class,PredClass
23,Alex_123201,1,0,1,0
28,AndradechrisEVEN,1,0,1,0
29,ArkZombie,1,0,1,0
41,Chooks123456,1,0,1,0
61,HockeyCat64,1,0,1,0
73,LA13379,1,0,1,0
77,Lukrom,1,0,1,0
90,OwOmasonsapir,1,0,1,0
92,Robot-12,1,0,1,0
100,SkilaSki,1,0,1,0
107,TheCod-R,1,0,1,0
112,WhoLovesCake777,1,0,1,0
113,XXCJGAMERXX,1,0,1,0
135,cs2324819,1,0,1,0
136,cs2360115,1,0,1,0
142,cs2374639,1,0,1,0
143,cs2379352,1,0,1,0
144,cs2387961,1,0,1,0
153,cs2445631,1,0,1,0
157,cs2462093,1,0,1,0
162,cs2617994,1,0,1,0
176,dat_blond_boi,1,0,1,0
182,estergarcia0,1,0,1,0
219,lbms71907,1,0,1,0
230,mikey_lopez,1,0,1,0
246,pulsarst-l,1,0,1,0
266,wafflenyan_cat,1,0,1,0
282,ALQG,0,1,0,1
283,Adamisthebomb,0,1,0,1
286,Aquaocean2,0,1,0,1
290,COOKIEDOUGHDINO,0,1,0,1
291,CandyCatsss,0,1,0,1
292,Cool_Girl_4eva,0,1,0,1
293,D1670621,0,1,0,1
297,GP2910,0,1,0,1
298,Gogobartlol,0,1,0,1
299,HALK629,0,1,0,1
300,HaHowAboutNo,0,1,0,1
301,Honey_Love4804,0,1,0,1
304,JJ435499,0,1,0,1
305,JR287076,0,1,0,1
308,KM3vhris,0,1,0,1
326,ScratcherRicardo,0,1,0,1
327,Scratchplayer_-_,0,1,0,1
328,Searsha,0,1,0,1
329,Serenismail,0,1,0,1
332,SoonDubu,0,1,0,1
333,SophiaC11732,0,1,0,1
334,Suqar-Milq,0,1,0,1
335,TedyIK,0,1,0,1
337,TylerGF,0,1,0,1
338,Ulsanfirefox,0,1,0,1
339,Zelda2828,0,1,0,1
341,an-kodo022,0,1,0,1
342,arnaualvarez05,0,1,0,1
349,cs2374381,0,1,0,1
353,cs2505834,0,1,0,1
356,daniel_redon,0,1,0,1
357,drugiMMB,0,1,0,1
358,electricmuffin,0,1,0,1
362,jordan233546,0,1,0,1
364,lauraMelo1,0,1,0,1
368,oscar_stlluis,0,1,0,1
370,shadowflame556,0,1,0,1
371,snivy_cute,0,1,0,1
372,starlight9778,0,1,0,1
373,susecat,0,1,0,1
380,what_happy,0,1,0,1
382,-doku-,1,0,1,0
401,88127170jh,1,0,1,0
403,AT301,1,0,1,0
428,DJ_GirlWoo,1,0,1,0
448,IL2028WASD,1,0,1,0
457,JosiahTehAnimatior,1,0,1,0
465,LaVacaVoladora03,1,0,1,0
472,Majestical_Llama,1,0,1,0
489,PrestonDMSA1,1,0,1,0
538,c1735294,1,0,1,0
542,cow12344,1,0,1,0
545,cs2360376,1,0,1,0
553,cs2390670,1,0,1,0
563,cs2471609,1,0,1,0
564,cs2494647,1,0,1,0
569,cs2616996,1,0,1,0
575,cwhq_sabreena,1,0,1,0
583,fortniter13270,1,0,1,0
588,goatgirl4,1,0,1,0
612,lexihardage,1,0,1,0
629,pepperfrost,1,0,1,0
656,20011127,0,1,0,1
657,20CLXY,0,1,0,1
663,CHFCS19,0,1,0,1
669,Fire_Winkle,0,1,0,1
671,Hexaverse,0,1,0,1
676,ItsKarmaBoi,0,1,0,1
677,JAMdude10,0,1,0,1
678,JLRFan,0,1,0,1
680,JaySafi,0,1,0,1
687,MCUFan73,0,1,0,1
694,Pietje500,0,1,0,1
695,PipiRobox,0,1,0,1
696,PumpkinSpiceyLatte,0,1,0,1
705,Snowyspirit1209,0,1,0,1
712,Wyliecoyote711,0,1,0,1
715,abilamm,0,1,0,1
717,anime_sprinklezz,0,1,0,1
721,catticorn24,0,1,0,1
725,cs2358520,0,1,0,1
726,cs2374196,0,1,0,1
728,cs2466060,0,1,0,1
729,cs2466063,0,1,0,1
734,filucakgandersen,0,1,0,1
737,ianboigh8,0,1,0,1
738,ignitedfreddy4,0,1,0,1
739,jake2482,0,1,0,1
743,lala_0703,0,1,0,1
748,musictheorybits,0,1,0,1
749,naiz5001,0,1,0,1
752,rociosala24,0,1,0,1
753,shadow302,0,1,0,1
755,thesaltofhyrule,0,1,0,1
756,tiagoMolina,0,1,0,1
757,vickicat200,0,1,0,1
760,ystu00,0,1,0,1
764,001734yeet,1,0,1,0
