,UserName,Class_before,PredClass_before,Class,PredClass
1,-GuyTheGuy-,1,0,1,0
2,05eththo43933,1,0,1,0
3,19ocarr,1,0,1,0
4,26jyslas,1,0,1,0
5,8011160SD,1,0,1,0
7,Ant621,1,0,1,0
9,Bedrock_Block,1,0,1,0
10,BigChungasOfUsa,1,0,1,0
11,BlueCornflower,1,0,1,0
12,Bomby_team,1,0,1,0
13,CFFAVP,1,0,1,0
14,CFMS0313,1,0,1,0
15,Chipsandsalsa2,1,0,1,0
17,Coder_the_Awesome,1,0,1,0
18,CorbinB11,1,0,1,0
19,DELLIGON,1,0,1,0
22,DenioKadia,1,0,1,0
23,EleVioEgg,1,0,1,0
24,Emoji_master_man,1,0,1,0
25,Enot2018,1,0,1,0
30,Illini2005,1,0,1,0
33,JohnBB06,1,0,1,0
34,Logan43Fazzari,1,0,1,0
35,M-SSIKYKY,1,0,1,0
38,MayoralJ5843,1,0,1,0
39,MichaelDPA,1,0,1,0
40,MicroAnimate7527,1,0,1,0
41,Minefoxrocks,1,0,1,0
45,OwenDaTank,1,0,1,0
47,RedStoneInventor,1,0,1,0
49,Socc3rdude17,1,0,1,0
50,Tayguara,1,0,1,0
51,Tony_Baldacci,1,0,1,0
53,WitherDude1,1,0,1,0
55,aRandomPotato9001,1,0,1,0
56,allilove_cats,1,0,1,0
59,babooshkapwr,1,0,1,0
60,bannanajim709,1,0,1,0
64,cassch19,1,0,1,0
66,codingclubNT,1,0,1,0
67,cool_apps_snap_back,1,0,1,0
68,cs2363135,1,0,1,0
69,cs2368288,1,0,1,0
71,cs2579439,1,0,1,0
72,cs2608161,1,0,1,0
73,cs2856894,1,0,1,0
74,cs3214716,1,0,1,0
75,dhtjd02,1,0,1,0
76,dorihutosann,1,0,1,0
82,httpsnotsecure,1,0,1,0
83,imbigchugus,1,0,1,0
87,kenziekoenig,1,0,1,0
88,mv3369,1,0,1,0
89,nazaret5231,1,0,1,0
92,raginggorillaz2,1,0,1,0
93,s319649,1,0,1,0
94,sans6554,1,0,1,0
95,scarletfox50,1,0,1,0
100,soulknight2009,1,0,1,0
101,sowad12345,1,0,1,0
103,toastingbread,1,0,1,0
107,xoxo1965,1,0,1,0
108,zane_savanhu_cnhm,1,0,1,0
133,3021804,0,1,0,1
181,CreativeBookworm,0,1,0,1
215,GatorScratch2027,0,1,0,1
222,Hailey_ScratchClass,0,1,0,1
259,Lollylau,0,1,0,1
275,Musaja,0,1,0,1
276,MushMan10,0,1,0,1
334,Thomasjackson17,0,1,0,1
422,deb_gd,0,1,0,1
445,ghelilasdino,0,1,0,1
536,speaksy02,0,1,0,1
544,sylvia1017,0,1,0,1
570,2a24Igramiranje,1,0,1,0
571,2bekah19,1,0,1,0
575,ABWolverine,1,0,1,0
578,Art_rules,1,0,1,0
580,CTK010203,1,0,1,0
581,CatCai,1,0,1,0
582,Chowster43,1,0,1,0
583,CoolMinorPacMan1,1,0,1,0
590,KarinaLoc,1,0,1,0
591,LES-CAM,1,0,1,0
592,Lol8ossman,1,0,1,0
595,Panterakawaii,1,0,1,0
596,Pinkachu-,1,0,1,0
597,PusheenTheCatMeow1,1,0,1,0
600,Sheadrew,1,0,1,0
603,TheMasterBros360,1,0,1,0
607,Veericks,1,0,1,0
608,WHS0813,1,0,1,0
610,XBoxLover124,1,0,1,0
612,ZHK_2010,1,0,1,0
615,aiden_lang_cn,1,0,1,0
617,alfarizi,1,0,1,0
618,b3reuben,1,0,1,0
619,brimaiwand,1,0,1,0
622,cs1922631,1,0,1,0
623,cs2395816,1,0,1,0
624,cs2398809,1,0,1,0
626,cs2495456,1,0,1,0
627,cs2497058,1,0,1,0
628,cs3171946,1,0,1,0
630,desijutt,1,0,1,0
632,eloi_abdeslam,1,0,1,0
634,flamelordcn,1,0,1,0
637,gaming-taco29,1,0,1,0
638,hacker19374,1,0,1,0
640,hbu03-26,1,0,1,0
641,james19900,1,0,1,0
643,jermeychen,1,0,1,0
644,jjmouriz,1,0,1,0
647,kakaos1,1,0,1,0
648,kasleo700837,1,0,1,0
652,lrodriggor,1,0,1,0
654,lylaolgc745,1,0,1,0
658,masterdma,1,0,1,0
661,pokti-,1,0,1,0
665,scott2010,1,0,1,0
666,screamingwolf123,1,0,1,0
667,sls18191a15,1,0,1,0
668,slymantella3674,1,0,1,0
669,souppppppppp,1,0,1,0
670,sprock9352,1,0,1,0
672,tashah8,1,0,1,0
677,z_rehman,1,0,1,0
678,zeandro0411,1,0,1,0
689,1emd,0,1,0,1
703,757277,0,1,0,1
720,Angel_Cas,0,1,0,1
777,Erik_Stlluis,0,1,0,1
800,Jburkard2006,0,1,0,1
801,Jerome69420,0,1,0,1
841,OOFF777777,0,1,0,1
883,TOkanovic,0,1,0,1
896,UltroGmr,0,1,0,1
992,daniel980215,0,1,0,1
1079,piterthecherry,0,1,0,1
1096,s318240,0,1,0,1
1098,samos6958,0,1,0,1
1100,sarah20063,0,1,0,1
1111,stk-2950908,0,1,0,1
1141,1315031187,1,0,1,0
1142,23468uc,1,0,1,0
1143,247JLB,1,0,1,0
1144,247drn,1,0,1,0
1146,A73814643,1,0,1,0
1151,BigBoiZappy,1,0,1,0
1153,Cucumber1208,1,0,1,0
1154,Dayanaralimon,1,0,1,0
1155,DustinNguyen,1,0,1,0
1156,Fire_Victor,1,0,1,0
1157,Fixer99,1,0,1,0
1158,FreddyR10,1,0,1,0
1159,FriendlyStuart,1,0,1,0
1160,GGage15,1,0,1,0
1162,GiancarloP,1,0,1,0
1166,Helen_Li,1,0,1,0
1167,HermioneYay,1,0,1,0
1169,Judicousblue,1,0,1,0
1172,LonePotatoChip,1,0,1,0
1173,MMFCS19,1,0,1,0
1174,Magical223,1,0,1,0
1176,MarioLuigiSonicFan,1,0,1,0
1178,MegaEpic11,1,0,1,0
1181,Nick_Crabnerry,1,0,1,0
1183,Oo-MistyStar-oO,1,0,1,0
1184,OscarandMax,1,0,1,0
1185,PeytonVa,1,0,1,0
1189,Skippy_Mcscooter,1,0,1,0
1192,Uhhhh-HI,1,0,1,0
1193,UserCdfjer,1,0,1,0
1195,ValCer3,1,0,1,0
1196,abhayani,1,0,1,0
1199,atchamoom,1,0,1,0
1201,bdzbasicbricks,1,0,1,0
1203,cnpeoria_petty,1,0,1,0
1205,cs2381262,1,0,1,0
1206,cs2401827,1,0,1,0
1207,cs2414714,1,0,1,0
1208,cs2657425,1,0,1,0
1210,dancingfairies,1,0,1,0
1212,donuteatingmachine,1,0,1,0
1217,genderlesschild21,1,0,1,0
1219,hsutp,1,0,1,0
1220,imagicode03,1,0,1,0
1221,jorgepascua19,1,0,1,0
1223,kidscom,1,0,1,0
1224,kompazr,1,0,1,0
1225,koopflop,1,0,1,0
1226,lopiano123,1,0,1,0
1227,mark_amor,1,0,1,0
1230,mouseAABS,1,0,1,0
1235,oreo-man,1,0,1,0
1236,owenolgc745,1,0,1,0
1237,parkyj5525,1,0,1,0
1239,rambler555,1,0,1,0
1244,tanyaCwk,1,0,1,0
1246,vh0213,1,0,1,0
1247,xiaoliXZWL,1,0,1,0
1248,yeetishboy,1,0,1,0
1268,22lgm,0,1,0,1
1331,DragonTamer557,0,1,0,1
1333,Dylan_Jcb-S,0,1,0,1
1367,Javi_marcus,0,1,0,1
1383,Locojacks,0,1,0,1
1416,Owardy,0,1,0,1
1444,Smlbrn,0,1,0,1
1457,Tomilol89,0,1,0,1
1460,Ultrasweet9,0,1,0,1
1484,anth230,0,1,0,1
1503,chance-lacy-wilson,0,1,0,1
1558,cs2578471,0,1,0,1
1583,haji82,0,1,0,1
1594,j_minecraft,0,1,0,1
1598,jji5608,0,1,0,1
1632,maatiglezz7,0,1,0,1
1710,-999WasHereAlt-,1,0,1,0
1711,03430054hamada,1,0,1,0
1712,115585,1,0,1,0
1713,247JNB,1,0,1,0
1716,4-10-2008_123,1,0,1,0
1718,60punten,1,0,1,0
1719,6610016768cam,1,0,1,0
1721,92nov,1,0,1,0
1724,Anyskylander1206,1,0,1,0
1729,Brysings,1,0,1,0
1733,EpicNoa64,1,0,1,0
1734,GULLERMITOO,1,0,1,0
1736,Gkiro,1,0,1,0
1737,JA26224,1,0,1,0
1739,Jackson_Patton,1,0,1,0
1740,Jarrett_Samuel_2,1,0,1,0
1741,JevilProjects,1,0,1,0
1742,Jobitz8167,1,0,1,0
1743,Judorantes,1,0,1,0
1745,Lavacannon88525,1,0,1,0
1746,Luca2464-H,1,0,1,0
1747,MM000005,1,0,1,0
1748,ManioElf,1,0,1,0
1750,Miathafox,1,0,1,0
1753,PigletTubeScratch,1,0,1,0
1757,Taylor_Ballard_CNHM,1,0,1,0
1758,TayteDMSC1,1,0,1,0
1759,TecheNerd,1,0,1,0
1760,Tyler1422,1,0,1,0
1762,XxX_Ankhaa_XxX,1,0,1,0
1763,appusis,1,0,1,0
1765,b36016,1,0,1,0
1766,bennybean07,1,0,1,0
1768,boby_jobes,1,0,1,0
1771,carrse,1,0,1,0
1772,catkitten12009,1,0,1,0
1773,cdehaan,1,0,1,0
1775,coolguy1800,1,0,1,0
1776,crazy632grape,1,0,1,0
1779,cs2657400,1,0,1,0
1780,cs3131909,1,0,1,0
1781,datboris,1,0,1,0
1782,diesel460,1,0,1,0
1785,got_sued_by_nintendo,1,0,1,0
1786,ii_oof23,1,0,1,0
1789,jubake,1,0,1,0
1790,kalamd,1,0,1,0
1792,lilkronic,1,0,1,0
1795,mc372763,1,0,1,0
1796,mitseytedog,1,0,1,0
1798,ninjalaynem,1,0,1,0
1799,numberblockfan119,1,0,1,0
1802,paren2417,1,0,1,0
1805,rubber_ducky_coder,1,0,1,0
1806,ryek48927,1,0,1,0
1807,saturn-yt,1,0,1,0
1808,shruthi_811,1,0,1,0
1810,slatev,1,0,1,0
1812,starwar654,1,0,1,0
1814,vilil,1,0,1,0
1817,zarmath,1,0,1,0
1826,1st-dork,0,1,0,1
1848,ADesai_2,0,1,0,1
1851,ALLCAPSMAN87,0,1,0,1
1866,BassPlayer90,0,1,0,1
1881,Cookies808,0,1,0,1
1903,EkstraSDKalamKudus,0,1,0,1
1931,JaeFlo2,0,1,0,1
1936,JohanVangilbergen,0,1,0,1
1944,Kojothegamer,0,1,0,1
2013,Tariqadams,0,1,0,1
2210,maxturer,0,1,0,1
2243,saschumacher,0,1,0,1
2244,scratch-robonautas,0,1,0,1
2252,songtulavodich,0,1,0,1
2254,stan4000,0,1,0,1
2269,usernamekitty,0,1,0,1
2277,ynara12345,0,1,0,1
2280,247DMH,1,0,1,0
2281,247TKT,1,0,1,0
2282,3008116,1,0,1,0
2283,399josephba,1,0,1,0
2284,88269728,1,0,1,0
2287,All_Fortnite_Emotes,1,0,1,0
2289,Aswdfzxcxcbbyn,1,0,1,0
2290,BearGrylls1335,1,0,1,0
2292,Bill200325,1,0,1,0
2293,Brypn,1,0,1,0
2296,Carrillo_Bryan,1,0,1,0
2298,Devonshire3,1,0,1,0
2299,DungusMcBungus,1,0,1,0
2300,Edwinisbiggerg,1,0,1,0
2305,Jatawah,1,0,1,0
2306,JoDa221,1,0,1,0
2308,KhalilahJ,1,0,1,0
2309,LABMATH,1,0,1,0
2311,Lopp24,1,0,1,0
2316,Miral6E23,1,0,1,0
2317,Murzilka_KOT,1,0,1,0
2318,NFLisamazing,1,0,1,0
2319,Newton_Dippet,1,0,1,0
2322,OnofrioSiniscalchi,1,0,1,0
2324,PlatypusBuddyMan,1,0,1,0
2325,RED_BLUEYELLOW,1,0,1,0
2326,Ratcheyboo,1,0,1,0
2327,ReceDaBeast12,1,0,1,0
2329,SamTheNam,1,0,1,0
2333,StopLickingTheBricks,1,0,1,0
2334,TheScratchTimes123,1,0,1,0
2337,abeliqueralt,1,0,1,0
2340,anek_bedi,1,0,1,0
2341,anna_tsubina,1,0,1,0
2343,awesomecoder2019r,1,0,1,0
2344,blipper,1,0,1,0
2345,bratt422,1,0,1,0
2346,colester3,1,0,1,0
2348,cs2418936,1,0,1,0
2349,cs2460695,1,0,1,0
2350,cs2499880,1,0,1,0
2352,djordje_s,1,0,1,0
2355,gris-gris1,1,0,1,0
2358,hensback,1,0,1,0
2360,isabellark,1,0,1,0
2362,ketchupchips2011,1,0,1,0
2363,lbms31923,1,0,1,0
2364,lolFox232,1,0,1,0
2374,roboticsisawsome,1,0,1,0
2375,scad7,1,0,1,0
2380,spacepotato246,1,0,1,0
2381,symeonw2140,1,0,1,0
2383,tokugawaryoma,1,0,1,0
2384,wonderousWarlock,1,0,1,0
2385,wwu2000,1,0,1,0
2386,yb3310,1,0,1,0
2415,613363,0,1,0,1
2426,Aftertale238,0,1,0,1
2436,BaeGuitarMan,0,1,0,1
2444,Cait997418,0,1,0,1
2502,KeenSophia19,0,1,0,1
2534,Mr_crispyboi,0,1,0,1
2543,NoraHoose,0,1,0,1
2556,Ronaldo17709,0,1,0,1
2634,caue10798,0,1,0,1
2758,maresann,0,1,0,1
2811,sbsa613,0,1,0,1
2823,spiderchrum13,0,1,0,1
2849,zoomaw,0,1,0,1
2851,-Daniel123Farcas-,1,0,1,0
2852,247LMS,1,0,1,0
2853,26RLACY-18,1,0,1,0
2854,A72217229,1,0,1,0
2855,AI1234567890,1,0,1,0
2856,Aidyn_Kittrell,1,0,1,0
2857,AlexanderYN,1,0,1,0
2859,Boomer246,1,0,1,0
2861,Cruzster,1,0,1,0
2862,DEnderGamer456,1,0,1,0
2863,DjCraft2005,1,0,1,0
2864,F-_On_Your_Test2,1,0,1,0
2866,FishyToons2,1,0,1,0
2867,FredDGel,1,0,1,0
2870,Goomba_gamer9,1,0,1,0
2873,J2cat,1,0,1,0
2874,Jgtugvtuhgig,1,0,1,0
2875,Julia-1,1,0,1,0
2877,LAFwolf430,1,0,1,0
2879,Lynx_Master432,1,0,1,0
2880,MariaHand,1,0,1,0
2881,Masodort50,1,0,1,0
2882,MaxMonster8,1,0,1,0
2884,MonkeyRapoza,1,0,1,0
2885,MrReseburg,1,0,1,0
2888,Oooot5,1,0,1,0
2889,Pellarhodon,1,0,1,0
2890,PokeTDC,1,0,1,0
2893,Renzejr,1,0,1,0
2896,Ryrah-2,1,0,1,0
2897,Smori3000,1,0,1,0
2901,ThayLinh,1,0,1,0
2902,TheCrossed,1,0,1,0
2905,YellowDragon19,1,0,1,0
2907,aleprim2019,1,0,1,0
2909,bigmemeboisickomode,1,0,1,0
2910,brea113018,1,0,1,0
2913,cristianiznajar19,1,0,1,0
2915,cs2437833,1,0,1,0
2917,cs2638699,1,0,1,0
2918,ericaaahh,1,0,1,0
2919,eva_blue,1,0,1,0
2921,gamergirlcodez,1,0,1,0
2923,julio-kanogy,1,0,1,0
2925,kkhtr,1,0,1,0
2927,kyuban,1,0,1,0
2933,nbritt,1,0,1,0
2936,overlap06,1,0,1,0
2937,owen-walker,1,0,1,0
2942,petercsa99,1,0,1,0
2943,phosphorusl,1,0,1,0
2945,robinr004,1,0,1,0
2948,s613326,1,0,1,0
2952,slug2011,1,0,1,0
2954,ugandan_tails_brodah,1,0,1,0
3006,Awsomeboys2099,0,1,0,1
3084,Kiwi_A,0,1,0,1
3088,KuruptWolf,0,1,0,1
3143,SlimySeal,0,1,0,1
3203,ccbible,0,1,0,1
3212,cjy0118,0,1,0,1
3307,hihihi17,0,1,0,1
3358,mrzack01,0,1,0,1
3409,vitorS2,0,1,0,1
3420,27landons,1,0,1,0
3421,399tatianaa,1,0,1,0
3422,430294,1,0,1,0
3423,469EgeAvsar-TeknoEge,1,0,1,0
3426,Akshit_Kumar12,1,0,1,0
3428,Araslol,1,0,1,0
3434,Bramle11,1,0,1,0
3436,CSteacher19,1,0,1,0
3438,CreeperFan75000,1,0,1,0
3439,Daniel7134,1,0,1,0
3443,Fran7224,1,0,1,0
3444,FrostyFeraligatr,1,0,1,0
3445,GCA_IO_2025,1,0,1,0
3446,GenerousCoder11,1,0,1,0
3448,JKKevin,1,0,1,0
3451,Kevin6798,1,0,1,0
3453,Ltherese,1,0,1,0
3455,Mr_NootyNoot,1,0,1,0
3456,Music_Help,1,0,1,0
3457,Parking-Meter,1,0,1,0
3459,Quey_Buey,1,0,1,0
3461,SE3271,1,0,1,0
3462,SNaimey,1,0,1,0
3463,THE-DOG-DRAGON,1,0,1,0
3464,Viproo2,1,0,1,0
3465,WFunGuyW_3,1,0,1,0
3466,Zinc-ldr,1,0,1,0
3467,aleenaaziz,1,0,1,0
3468,alex_romero_cnhm,1,0,1,0
3473,bip2020,1,0,1,0
3474,blackserpent789,1,0,1,0
3475,blr2019eac,1,0,1,0
3476,captinkirk2019,1,0,1,0
3478,cs2379348,1,0,1,0
