UserName,Class,PredClass
SS9743218,1,1
Sal_The_Skeleton,1,1
Scp-Foundation_12,0,0
ScratchedByElian,1,1
Serenismail,0,1
SlyLittleFox12,1,1
Slyveon_Productions,0,0
Snowicorn,1,1
Sparkling-Twi-Haze,1,1
Still_Chill_Carlito,1,1
StrawBerryFace4,1,1
SugarDork,0,1
TacoMan8673,1,1
TedyIK,0,1
TheCod-R,1,0
TheMen82,1,1
TheUnseenShadow,0,0
Tonkayuyu2019,1,1
ToothlessGrins,1,1
ToriBelle46,0,0
TristanPeavler2005,1,1
VLevshina,1,1
VikiDK,1,1
WEHTTAM03759,1,1
WalkingFishDog,0,0
WanderingNomad,1,1
Warrior_Cat_Lover___,0,0
WhoLovesCake777,1,0
WolfCake101,1,1
WolfFanfare,0,0
XxX_Ankhaa_XxX,1,1
Yadeeeee,1,0
Zero_Acron,0,0
ZurgDan,1,1
_-GachaNeko-_,0,0
_saam,1,1
aan_g09,1,1
aani2015,1,1
acarmona0042,1,1
ahmattinglys10026,0,0
alasandis,1,1
aleher27,1,1
an-kodo022,0,1
anonymousunicorns,0,0
arnaualvarez05,0,1
as5kin,1,1
ayalatoch,1,1
bassl934,0,1
bern1832,1,1
bigchungi13,0,0
bingbongkingkong,1,1
bkdudgeon,0,0
blackserpent789,1,1
boby_jobes,1,1
brockstar00,1,1
brynntraynor,1,1
bsatchinson1234,1,0
calebt2006,0,1
candycatsandunicorns,1,1
carlarodriiguez,0,1
carlosanimeyugioh,1,1
carmenchu1775,1,1
catqueen889,1,1
caye5c12,0,1
chansenhps,1,1
chernande0664,1,1
cjw19,1,1
codingexplora,1,1
cooldudehuds,1,1
cs1670391,1,1
cs2258704_Jimin_BTS,0,1
cs2328000,1,1
cs2355218,0,0
cs2357771,1,1
cs2358442,0,1
cs2358468,0,0
cs2359773,1,0
cs2360114,1,1
cs2360205,1,0
cs2365133,1,1
cs2367647,1,1
cs2368292,1,1
cs2372011,1,1
cs2372268,0,0
cs2374451,0,0
cs2391770,1,1
cs2394647,1,1
cs2394660,0,0
cs2394672,1,1
cs2402870,1,1
cs2429212,1,1
cs2446836,0,0
cs2446845,1,1
cs2448803,1,1
cs2461562,1,0
cs2469580,1,1
cs2536638,0,0
cs2579159,1,1
cs2617982,0,0
cs2631397,1,1
cs2632464,0,0
cs3129522,1,1
cs3259215,0,1
cs3753237,0,0
cwkmihkel30235,1,0
doodleoodles,1,1
eboyisawesome,1,0
eluna0041,1,1
emwh7,0,0
eshraq5b,1,1
everysinglesuperbran,0,0
fazbearcoding_gaming,1,1
fesarabj54,1,1
fortniteprolegend,0,0
fun-awesome,1,1
funtimefriend,1,0
gengar2010,0,1
gibguy1111,1,1
hannahmei,1,0
hcarringer,1,1
hensback,1,1
hifihifi,1,1
hireeee,1,1
hunarkx,1,1
ismael3222,1,1
jamie_watt,1,1
jgarcia1755,1,1
jme23,1,1
jpinnell2020,0,0
jruvalcab0020,1,1
kadpay18,1,1
karimg2009c,1,1
kirill_ch_2010,1,1
kit64kat,1,1
kitty-cupcake,1,1
kl_4d,0,1
km9645,1,1
kojoasop,1,1
koolkings90,0,0
kyattuyama,1,1
lauramartinez19,1,1
lbms71907,1,0
lolbitcrystalgames,1,1
lopezmatta16,1,1
masonshhs,1,1
monkeydog88,1,1
nagrombill,1,1
neream10,1,1
nicoli020878,1,1
nikferriman7089,1,1
noaf3,0,0
nopain723723,1,1
nordholla,1,1
oh-snap,0,1
olagortamalen,1,1
oshunn,1,1
pedrineitor111,1,1
petercsa99,1,1
pigeon55,0,1
pikachu_rules0,1,1
porter123456789,1,1
purpleballer21,1,1
pusheencatcoder,1,1
quangdat89,1,0
rleonardo8128,1,1
robot6167,1,1
royam0820,1,1
s1754889,1,0
s185a2023,1,1
s185e2138,1,1
s318240,1,1
s321709,1,1
s323874,1,1
s643140,1,1
saim-10,1,1
samlet238,0,1
sarodriguez6,1,1
scattercap666,1,1
scratchnerddd,1,1
screamingwolf123,1,1
sensual456,1,1
shadow302,0,1
shunsuketodo,1,1
skrull360,0,1
skyfull-of-stars,0,1
sls18191a15,1,1
smithpatrickl,1,1
songhj5,1,1
sophiabj41,1,1
spinnerabc,0,0
starlight130,0,0
stop-the-fangirls_5,1,1
sunkissed_,1,1
superoliver_9604_YT,0,0
supersy64,0,1
syedatech403,1,1
syedtech323,1,1
tinslben21,1,1
torredanel,1,1
tylertheboss2,0,0
unicorn4lifelove,0,1
valkyrielegend21,1,0
venomstripe143,0,0
videogamer142,1,1
vromerob2019,1,1
wafflegirraffe200,0,0
wolf_in_the_wind,1,0
wolfdogggg,1,1
xOSpaceKightOx,0,0
xxxltentons,1,1
yepitzme_1225,1,1
ysuperson,0,0
zyunus2020,1,1
---1122,1,1
-Oceanstudios-,1,1
-ZeRo_Gravity-,0,0
-chaitea,1,1
-meowthetics-,0,0
-sunsetflower-,1,1
001734yeet,1,0
06sarablanco,1,1
1014617,0,1
10191367,1,1
10628184_Alicia,1,1
1cool2girl3,1,1
20011127,0,1
200140150,1,1
2358985765898,0,1
25Jdepew,0,0
26jobert,1,0
28_bombard_mint_fans,1,1
340094lt,1,1
5-G223,1,1
6613021172,0,0
6613022457,1,1
67Scratch,0,0
8010524,1,1
8011325OW,1,1
8015717XR,1,0
88127165mp,1,1
90914Thelma,0,0
ALoury,1,1
AedanWsb2,0,0
AlbertoLuque1234,0,1
Alueplays,0,0
Anbuggie,1,0
Araslol,1,1
ArhanMenon,1,1
Bensingh10,1,1
Bill200325,1,1
Blade5A2019,1,1
Bolt_The_Dragon,1,1
Bpascal7,1,1
Bsartin,0,1
Bumpbump2306,1,0
CODchamp145,1,1
CandyCatsss,0,1
CartrobeM,1,1
Charlotteskool,1,1
ColSSan2018,1,1
CoolMinorPacMan1,1,1
CuteLittleNuggetXD,0,0
D1715460,0,0
DJ-Supreme07,1,1
Daniel7127,1,1
DarlaS03,1,0
Dewpawin,1,1
DielliOMGIsCool,0,0
Dreadraid,0,0
Duckkkkkkkk,1,1
Dwimis,1,1
ED120303,1,1
EJMoise,1,1
ELIJAH282008,1,0
EPoole2019,1,1
EducatedCow,1,1
ElectricWing308,0,0
EmanuelS-18,1,1
FigureFilms,1,1
Fire_Winkle,0,1
FunnyManYeeter,1,1
GE9751423,1,1
GabeS-18,1,1
Galaxy_FQ10,1,1
GearGlitch,1,1
GlitchyBroStudios,1,1
GlitterRainbow122,1,1
Great1Good,1,0
HALK629,0,1
Hackley122,1,1
Hawkfirefilms,1,1
Hiatt5185,1,1
ILoveMyBeagle,0,0
ISAAC-ALESH,0,0
Iceicedudeuwu,1,1
JP750664,1,0
JasonZSB2,0,0
Jordan2104,1,1
Julianne_Emily,1,1
Kalo915,1,1
Karleeeeeeeee,0,0
