,UserName,Class_before,PredClass_before,Class,PredClass
29,Igarlitz,1,1,1,0
99,sophia_berridge,1,1,1,0
105,valt1314,1,1,1,0
531,sinbihae,0,0,0,1
547,tecno84,0,0,0,1
593,Megallu07,1,1,1,0
629,denissdaily,1,1,1,0
633,eric--zhu,1,1,1,0
642,jcool09,1,1,1,0
649,kurbisanan,1,1,1,0
653,lumgamer,1,1,1,0
662,purpleballer21,1,1,1,0
663,rturner18,1,1,1,0
694,333666999000,0,0,0,1
765,DarthLevicor,0,0,0,1
1064,nichol_b_1_5_,0,0,0,1
1070,numberblock_3,0,0,0,1
1147,Ahammond4,1,1,1,0
1190,SuperBlooperBoi,1,1,1,0
1204,codeninjaEn,1,1,1,0
1238,pirisori,1,1,1,0
1270,27GGOL2019,0,0,0,1
1723,Alex_Eitel,1,1,1,0
1732,DankmemeOP,1,1,1,0
1770,buffalostudent,1,1,1,0
1797,newacount12,1,1,1,0
1837,399zackr,0,0,0,1
1863,B73054768,0,0,0,1
1956,MLatasa,0,0,0,1
2135,dapagonz,0,0,0,1
2190,juddama000,0,0,0,1
2242,saray6g,0,0,0,1
2297,CheesecakeCodes,1,1,1,0
2357,heg2019ehs,1,1,1,0
2369,paul_best,1,1,1,0
2377,sls18191a07,1,1,1,0
2379,soccersarah1212,1,1,1,0
2448,CodeNinjasPrinceton,0,0,0,1
2894,RobertMartino2019,1,1,1,0
2926,kompazr2,1,1,1,0
2929,ly456789,1,1,1,0
2931,misterchubb,1,1,1,0
2968,1410731031,0,0,0,1
3091,Lixih,0,0,0,1
3200,calvincc,0,0,0,1
3356,mkallala,0,0,0,1
3424,ANCompSci,1,1,1,0
3437,CastroCarreno2006,1,1,1,0
3447,JBM24,1,1,1,0
3449,JasonKool113,1,1,1,0
3472,bfdifanboy200,1,1,1,0
3512,robot_fri_321,1,1,1,0
3684,Pigacorn207,0,0,0,1
4015,Legoatspi,1,1,1,0
4043,courtneyanle,1,1,1,0
4049,goertz-kaydance,1,1,1,0
4060,juhyeon0227,1,1,1,0
4074,pd5ws25rr,1,1,1,0
4501,rrms786,0,0,0,1
4568,CNWIssaE,1,1,1,0
4573,EUJs1601030,1,1,1,0
4602,TicoRico25,1,1,1,0
4644,mynameisJEFFYMANDUDE,1,1,1,0
4864,Ton_W,0,0,0,1
4896,bumblebeebug,0,0,0,1
5135,AnjaliS24,1,1,1,0
5169,WhatUpBoiis123,1,1,1,0
5214,ninjadavidSo,1,1,1,0
5222,royam0820,1,1,1,0
5323,ED120303,0,0,0,1
5435,TheGermanViking64,0,0,0,1
