,UserName,Class_before,PredClass_before,Class,PredClass
36,CL120303,1,1,1,0
50,Drago_Ter,1,1,1,0
98,SPDR2,1,1,1,0
194,hannahmei,1,1,1,0
251,s185d2109,1,1,1,0
313,MJE2409,0,0,0,1
360,fangwolf12344,0,0,0,1
365,lemon_rolls,0,0,0,1
376,tractor066,0,0,0,1
406,Ainmari,1,1,1,0
414,Anime-princes,1,1,1,0
441,GULLERMITOO,1,1,1,0
470,Lycaon246,1,1,1,0
521,WWBen,1,1,1,0
666,DannyFSB2,0,0,0,1
682,JuniLearningScratch,0,0,0,1
703,Silver_Stream_469,0,0,0,1
708,TheCombinedAccount,0,0,0,1
714,_Jupiter,0,0,0,1
723,cookiedoe24,0,0,0,1
724,cs2358428,0,0,0,1
795,CodingMaster137,1,1,1,0
808,EV908166,1,1,1,0
833,LANCEISKING,1,1,1,0
836,Lixih,1,1,1,0
885,airbear18,1,1,1,0
887,armourgrade3,1,1,1,0
954,gina9215,1,1,1,0
960,heheheh1321,1,1,1,0
986,mkallala,1,1,1,0
1016,sofijazec,1,1,1,0
1025,unicorn-rainbow-cat,1,1,1,0
1043,Anna5631,0,0,0,1
1056,JM730244,0,0,0,1
1110,cs3259215,0,0,0,1
1114,emreeren08,0,0,0,1
1230,Pandas095,1,1,1,0
1246,Swallows651,1,1,1,0
1252,TheKirbLord,1,1,1,0
1270,bbobo21,1,1,1,0
1307,cs2436095,1,1,1,0
1379,paul_best,1,1,1,0
1409,vlomarcanllobet,1,1,1,0
1445,MulberryP,0,0,0,1
1477,cs2365733,0,0,0,1
1483,cs2424633,0,0,0,1
1486,cs2501345,0,0,0,1
1500,illgottengains,0,0,0,1
1503,ld_g09,0,0,0,1
1512,polishpierogi,0,0,0,1
1513,sare03217,0,0,0,1
1516,thirdjulitta,0,0,0,1
1570,Darth_Potter,1,1,1,0
1648,Worp66Scream,1,1,1,0
1696,cs2436238,1,1,1,0
1739,lbms71910,1,1,1,0
1811,EG533517,0,0,0,1
1821,Jason3332,0,0,0,1
1836,Psychium_Z,0,0,0,1
1848,TheSquire-,0,0,0,1
1886,mlpfan21,0,0,0,1
1906,-Aries,1,1,1,0
1925,5-C315315,1,1,1,0
1934,Alpha_-Wolf-_,1,1,1,0
1941,BJLFELIPE,1,1,1,0
1955,ELIJAH282008,1,1,1,0
1990,ManioElf,1,1,1,0
1992,Mateo3336,1,1,1,0
1998,NOTRian,1,1,1,0
2032,Turtleking2019,1,1,1,0
2063,cs2360210,1,1,1,0
2097,ei_g09,1,1,1,0
2126,lolxDdj,1,1,1,0
2190,Cinnamon__Roll,0,0,0,1
2198,FgRuben,0,0,0,1
2222,XRinRed,0,0,0,1
2232,cs2358442,0,0,0,1
2238,cs2395683,0,0,0,1
2266,puckthepanda,0,0,0,1
2276,trickyfrosty09,0,0,0,1
2290,101RobloxFans,1,1,1,0
2291,10699984,1,1,1,0
2326,DarlaS03,1,1,1,0
2341,IJust__Draw,1,1,1,0
2355,KatyKat50,1,1,1,0
2382,QueeCold,1,1,1,0
2453,cs2449542,1,1,1,0
2557,-PeridotKitti-,0,0,0,1
2570,AlbertoLuque1234,0,0,0,1
2617,brianna2Q19_denman,0,0,0,1
2641,fairybutter,0,0,0,1
2646,huy_apple,0,0,0,1
2662,sunboy78,0,0,0,1
2683,99795659,1,1,1,0
2697,BudgieTalks,1,1,1,0
2707,DERPYMOWHAWKDJ,1,1,1,0
2735,JoshuaDPA,1,1,1,0
2865,frandbri,1,1,1,0
2867,gb4214,1,1,1,0
2915,safia5,1,1,1,0
2928,tyalleng13,1,1,1,0
2937,yusufberenavsar,1,1,1,0
2986,Shaku_and_Alexis,0,0,0,1
2997,ZT193945,0,0,0,1
3009,cs2358431,0,0,0,1
3044,switchlover5,0,0,0,1
3062,2saxon19,1,1,1,0
3112,KevLe2019,1,1,1,0
3122,Mari_Mat,1,1,1,0
3190,cs2305847,1,1,1,0
3228,dmotas,1,1,1,0
3256,jpahl,1,1,1,0
3289,quangdat89,1,1,1,0
3295,sPUnGbeB,1,1,1,0
3302,sls18191a26,1,1,1,0
3316,yel2006,1,1,1,0
3344,ItsYoGal_Sasune,0,0,0,1
3347,JesseLiebrand,0,0,0,1
3353,Racoonbun,0,0,0,1
3355,SALTY_SALTY_SALT,0,0,0,1
3359,SugarDork,0,0,0,1
3372,alunniterze,0,0,0,1
3379,calebt2006,0,0,0,1
3395,cwknadia28704,0,0,0,1
3400,ggh012,0,0,0,1
3409,minh_124,0,0,0,1
3417,princessglitterpuppy,0,0,0,1
3453,AmyxLawny,1,1,1,0
3479,FRONTIER_DRUMMER,1,1,1,0
3532,ScratchPuffs,1,1,1,0
3541,Sydney_Animates,1,1,1,0
3640,lopiano123,1,1,1,0
3660,pnj10005,1,1,1,0
3685,sowad12345,1,1,1,0
3698,xASK_MAPLESHADE,1,1,1,0
3720,DearStarboy_John,0,0,0,1
3784,esmeleadsom09,0,0,0,1
3787,iceytheicewolf2,0,0,0,1
3801,nsantillan,0,0,0,1
